서비스 설명,서비스 ID,SKU 설명,SKU ID,사용량,사용량 단위,비용(₩),할인(₩),프로모션 및 기타(₩),반올림되지 않은 소계(₩),소계(₩),이전 기간 대비 소계 변동률
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Enterprise Plus N RAM in Seoul,66ED-23EA-CB69,"11,520",gibibyte hour,372664,0,0,372664.108080,372664,-4%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Enterprise Plus N vCPU in Seoul,0374-5EEA-4AE5,"1,440",hour,274388,0,0,274387.708080,274388,-4%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Enterprise Plus Data Cache Storage in Seoul,2734-C30D-558A,375,gibibyte month,212932,0,0,212932.199520,212932,-1%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Enterprise Plus Standard Storage in Seoul,591B-9D56-E4FA,250,gibibyte month,150827,0,0,150826.974480,150827,-1%
App Engine,F17B-412E-CB64,Backend Instances Osaka,74C1-6299-8F3E,"1,444.588",hour,104211,0,0,104211.489061,104211,-4%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Seoul,9304-94C4-2117,"1,259.979",hour,48200,0,0,48200.065613,48200,-4%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Seoul,D715-4E57-BAFB,"5,039.919",gibibyte hour,25722,0,0,25722.224118,25722,-4%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,720,hour,24569,0,0,24569.099271,24569,-4%
Compute Engine,6F81-5844-456A,Balanced PD Capacity in Seoul,5666-EFB4-5C79,29.187,gibibyte month,5179,0,0,5179.122728,5179,45%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"1,439.919",hour,4913,0,0,4913.266010,4913,-3%
Compute Engine,6F81-5844-456A,Storage PD Capacity in Seoul,0306-B164-A7B7,20,gibibyte month,1420,0,0,1419.546979,1420,-1%
Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,2,month,546,0,0,545.979600,546,-1%
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,3.194,gibibyte month,368,0,0,367.677642,368,55%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to South Korea,70A1-9E75-5BB1,0.233,gibibyte,60,0,0,60.363434,60,11%
Cloud SQL,9662-B51E-5089,Cloud SQL: Backups in Seoul,8519-2869-D7C1,0.269,gibibyte month,38,0,0,38.231168,38,3%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class B Operations,8AE7-5BBD-8F38,"36,008",count,20,0,0,19.659586,20,-5%
Cloud DNS,FA26-5236-B8B5,DNS Query (port 53),6DFF-5025-A128,"24,521",count,13,0,0,13.387129,13,-7%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to Apac(Excluding Korea and Indonesia),16D6-B598-91DA,0.029,gibibyte,8,0,0,7.557042,8,60%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Seoul to APAC,0DBF-7B11-1C9D,0.017,gibibyte,4,0,0,4.420245,4,-50%
Cloud Storage,95FF-2EF5-5EA1,Multi-Region Standard Class A Operations,9ADA-9AED-1B24,237,count,3,0,0,3.234877,3,0%
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,0.171,gibibyte,2,0,0,2.336816,2,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Seoul (asia-northeast3),3C98-FAA0-7935,0.134,gibibyte,2,0,0,2.186056,2,0%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Multi-region within Asia,990F-BF38-8D3C,0.016,gibibyte,2,0,0,1.714902,2,0%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Asia,CA61-E18A-B2D6,0.011,gibibyte,1,0,0,1.168750,1,
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Seoul (asia-northeast3),147E-ED36-67D1,0.052,gibibyte,1,0,0,0.847582,1,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to EMEA,0C3E-FFEC-0D6F,0.003,gibibyte,1,0,0,0.820821,1,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to Americas,267D-1497-929B,0.003,gibibyte,1,0,0,0.718516,1,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Asia Multi-region,E653-0A40-3B69,0.016,gibibyte month,1,0,0,0.573368,1,
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Seoul to Americas,173A-5A39-18A2,0,gibibyte,0,0,0,0.123154,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Seoul to Japan,5943-4B33-25A7,0.001,gibibyte,0,0,0,0.065770,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - APAC Based,9428-46F3-3796,0,gibibyte,0,0,0,0.036578,0,0%
Compute Engine,6F81-5844-456A,Multi-regional Snapshot upload within Asia,65C4-5F7D-ED7E,0,gibibyte,0,0,0,0.018640,0,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Seoul to EMEA,98AE-34C5-8D20,0,gibibyte,0,0,0,0.016742,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to China,4917-2B57-3B06,0,gibibyte,0,0,0,0.015833,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to Middle East,650B-52D0-BEF4,0,gibibyte,0,0,0,0.013319,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to Australia,4152-BA11-9EA8,0,gibibyte,0,0,0,0.011395,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to South America,1560-00C4-92EE,0,gibibyte,0,0,0,0.009272,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Seoul to Americas,431F-2128-D8A7,0,gibibyte,0,0,0,0.008230,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Connect Data Transfer Out APAC,C290-B72E-DA4E,0,gibibyte,0,0,0,0.007882,0,0%
Compute Engine,6F81-5844-456A,Storage PD Snapshot in Asia,6E69-DD68-8DCA,0,gibibyte month,0,0,0,0.005954,0,0%
